,winningscore,losingscore
517,52.0,45.0
518,65.0,39.0
519,60.0,39.0
520,56.0,53.0
521,79.0,45.0
522,71.0,42.0
523,69.0,23.0
524,48.0,33.0
525,62.0,35.0
526,48.0,42.0
527,46.0,26.0
528,55.0,48.0
529,99.0,42.0
530,35.0,27.0
531,69.0,65.0
532,79.0,50.0
533,79.0,68.0
534,56.0,55.0
535,61.0,51.0
536,61.0,46.0
537,64.0,43.0
538,58.0,50.0
539,56.0,51.0
540,59.0,52.0
541,57.0,46.0
542,69.0,66.0
543,65.0,50.0
544,47.0,39.0
545,84.0,53.0
546,43.0,37.0
547,41.0,35.0
548,50.0,40.0
549,58.0,32.0
550,42.0,31.0
551,51.0,45.0
552,37.0,28.0
553,64.0,34.0
554,70.0,53.0
555,42.0,21.0
556,53.0,45.0
557,52.0,39.0
558,45.0,24.0
559,61.0,50.0
560,34.0,28.0
561,61.0,60.0
562,48.0,37.0
563,60.0,31.0
564,49.0,46.0
565,44.0,28.0
566,63.0,55.0
567,58.0,55.0
568,56.0,47.0
569,68.0,42.0
570,65.0,61.0
571,63.0,57.0
572,51.0,37.0
573,48.0,39.0
574,46.0,30.0
575,57.0,56.0
576,43.0,41.0
577,62.0,45.0
578,60.0,31.0
579,54.0,36.0
580,50.0,37.0
581,51.0,41.0
582,54.0,48.0
583,53.0,52.0
584,94.0,24.0
585,63.0,43.0
586,69.0,47.0
587,66.0,24.0
588,44.0,33.0
589,37.0,31.0
590,43.0,26.0
591,61.0,30.0
592,65.0,63.0
593,59.0,31.0
594,47.0,46.0
595,59.0,42.0
596,65.0,53.0
597,72.0,32.0
598,54.0,30.0
599,46.0,37.0
600,82.0,52.0
601,37.0,25.0
602,52.0,32.0
603,68.0,41.0
604,35.0,34.0
605,55.0,34.0
606,57.0,52.0
607,33.0,28.0
608,48.0,42.0
609,30.0,26.0
610,59.0,54.0
611,54.0,47.0
612,45.0,36.0
613,50.0,34.0
614,69.0,57.0
615,55.0,43.0
616,54.0,49.0
617,51.0,42.0
618,47.0,41.0
619,26.0,25.0
620,78.0,44.0
621,58.0,31.0
622,38.0,31.0
623,66.0,54.0
624,52.0,40.0
625,63.0,57.0
626,61.0,32.0
627,44.0,18.0
628,56.0,23.0
629,53.0,23.0
630,60.0,40.0
631,52.0,33.0
632,61.0,29.0
633,52.0,44.0
634,49.0,41.0
635,60.0,45.0
636,43.0,17.0
637,53.0,35.0
638,64.0,43.0
639,44.0,37.0
640,48.0,11.0
641,52.0,48.0
642,45.0,33.0
643,61.0,38.0
644,52.0,48.0
645,69.0,39.0
646,72.0,39.0
647,43.0,36.0
648,36.0,34.0
649,50.0,40.0
650,43.0,42.0
651,61.0,38.0
652,64.0,55.0
653,76.0,42.0
654,53.0,45.0
655,38.0,26.0
656,56.0,48.0
657,51.0,16.0
658,68.0,38.0
659,39.0,24.0
660,45.0,35.0
661,54.0,51.0
